Title,Price,Sold,Reviews,Condition,Brand,Power Source,Material,Voltage,Model,Color,Features,Item Width,Item Length,MPN,Smart Home Protocol,Country/Region of Manufacture,Manufacturer Warranty,UPC,Timer Control,Refrigerant,Custom Bundle,Number of Heat Settings,Year Manufactured,Smart Home Compatibility,Heating Element Format,Air Direction,BTU Heating Rating,Heating Element Material,Tank Capacity,Control Style,Energy Star,Energy Efficiency Ratio (EER),Annual Fuel Utilization Efficiency (AFUE),Area Covered,Cable Length,Width,EC Range,Current Rating,Item Depth,Type,Tonnage,Heating System,Mounting Location,Operating Sound Rating,Power,EAN,Location,Heating Technology,Room,Modification Description,Battery Included,Bundle Description,Battery Size,Modified Item,Weight,Depth,Number of Batteries,Battery Capacity,Battery Life,Length,Motor Type,Room Coverage Area,Height,Heating Wattage,Colour,Energy Rating,Time Control,Contents of the package,Material Type,Switch Car heater,Air Outlet Car heater,Item Type,Size:,Core Material:,Heating element:,Manufacturer Part Number,ISBN,Size,Heating Method,Item Dimensions LxWxH,SHIPPING,RETURN,ITEM LOCATION,International buyers,ProductGroup,PartNumber,Label,Studio,Manufacturer,Binding,Warranty,Publisher,ProductTypeName,Model Number,Item Height,Package,Piece Count,Item Weight,Room Size,Indoor/Outdoor,Product Depth (in),Wattage (watts),Heater Type,Product Width (in),Area Heated (Sq Ft),Heater Controls,Color Family,Amperage (amps),Certifications and Listings,Portable Heater Safety Features,Product Height (in),Cord Length (in),Voltage (volts),Power/Fuel Type,Product Weight (lb),Portable Heater Features,Country of Origin,Prop65_fl,Prop65Warning,SKU,Application/Usage,Area Coverage,Form Factor,Input Voltage,Maximum Heat Power,Product Model,Product Type,Timer,Weight (Approximate),Heat rating (BTU/hour),Pack Size,Heat Output,Handling Time,Shipping,Satisfaction,Customer Service,International Shipping,Returns,Note,Department,Style,Ventilation Type,Chamber Depth,Finish Type,Model No.,Assembled Product Dimensions (L x W x H),MaterialType,Voice Control Hub Required,Remote Access,Smart Home,Requires Hub?,Works With,Power Options,Item Weight ‏,Hight,New Title,Fuel Type,Heating Element,Minimum Heat Power,Item model number,Warranty Description,Batteries Required,Batteries,Is Assembly Required?,Is Discontinued By Manufacturer,Product Dimensions,item_width,item_length,Mount Type,package_length,Package Dimensions,Baseboard Heating Type,Hydronic,Product Length (in),Thermostat,Heating Product Type,Heating Technology Type,Vented,Number of Cool Speeds,Product,Size Type,Automatic shutoff,Installation,Timer Included,Anti-freeze setting,ACLI Safety Plug,Remote Control,Accessories Included,Oscillation,Tax,VAT Rate,For,COUNTRY  OF ORIGIN,Amazon Title,Generic Keywords,Category 1,Category 2,Weight (lbs),Length (in),Width (in),Height (in),Feature Bullet 1,Feature Bullet 2,Safety Tip-Over Switch,Indoor Safe,Ignition,Heat Settings,BTU Per Hour,Recommended Location,Assembled Depth (in),Color/Finish,Patio Heater Type,Assembly Required,Assembled Height (in),Total BTU,Cord Length (ft),Heating Area (sq ft),Outdoor Living Product Type,Assembled Width (in),Housing Material,Country Of Origin,TAX,Handling Time:,Questions,Product Style 3,Product Style 4,Product Group,Product Style 1,Product Style 2,Assembly,Dimensions,Air Flow,Product Features,Overall Width,Special Features,Wattage,Heating Element Type,Cord Length,Overall Height,Plug Type,Power Type,Assembled Product Weight,NumberOfItems,Bundle Listing,Item Location,Category,IsAdultProduct,Shipping Weight,Mount Location,Product Weight (lb.),Product Weight lb,Product Depth in,Package Condition,Area Heated Sq Ft,Area Heated (Sq. Ft.),Heat Output BTU/hour,Functionality Check II,Product Lot Quantity,Returnable,Brand:,Control Style:,Power:,Energy Efficiency Ratio (EER):,Material:,Number of Heat Settings:,Cable Length:,Power Source:,Mounting Location:,Tank Capacity:,Operating Sound Rating:,Heating Element Format:,Features:,Color:,MPN:,BTU Heating Rating:,Item Depth:,Area Covered:,Heating Element Material:,Item Length:,EC Range:,Condition:,Item Width:,Annual Fuel Utilization Efficiency (AFUE):,Country/Region of Manufacture:,Model:,Energy Star:,Voltage:,Style:,Custom Bundle:,Heating System:,Modified Item:,Mounting,Product name,Power line,Product Meas,Heating power,Use,Net Weight/Gross Weight,Box Size,Package Include,manufacturer_part_number,Maximum Coverage Area,Power cord,Product size,Net weight/Gross weight,Box size,Package Included,BoxSize,Rated Voltage,Main material:
Ainfox 35inch Electric Heater Black With Remote Control ,110.0, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Ainfox,Electric,,,,Black,,,,,,,,,,,,,,,,,,,,Remote Control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portable Indoor Electric Infrared Space Heater 1500W 12H Timer with Remote,113.98,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",ESDDG,Electric,Steel,110 V,ESDDG,Black,Timer,9.72 in,11.58 in,Does Not Apply,,,,699907304436,12 hrs,,Yes,3,,,Strip,,5118 BTU,,,Remote Control,,,,101-150 sq ft,,,,,,Portable Heater,,Infrared,Desk/Tabletop,,750W / 1500W,,,,,,,AAA Battery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mr. Heater Buddy Flex 11000 BTU Portable Heater,110.0, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Mr. Heater,,"Aluminum, Steel",,,Red,Auto Shut-off,17 in,,F600100,Radiant,,,,,,,3,2020,ADT Pulse,Coil,,8000-110000 BTU,,,,,,,275 sq. Ft.,,,,,16 in,Portable Heater,,Radiant,"Floor, Wall, Desk/Tabletop",Standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TPI ICH-240C Utility Fan Forced Portable Heater,110.0, , ,"Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ",TPI,Electric,Steel,208/240 V,TPI ICH-240C,Red,,,,"ICH-240C, ICH-240",,,,,,,,1,,,,,,,,Dial,,,,,,,,,,Portable Heater,,,,,3501-4000 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electric 1500W Hanging Wall Patio Heater For Indoor Outdoor Use With Remote Best,114.99, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Comfort Zone,,,,,,Remote Control,,,,,,,7445049453449,,,,,,,,,,,,,,,,,,,,,,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500 W,,,,,Metallic,,,,,,120,,6.5 lb,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7 in,Silver,Wall Mount Patio Heaters,No,5.75 in,5120 Btu,60,120,Patio Heater,26.5 in,ABS Plastic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SEARS 55,000 BTU Kerosene Portable Forced Air Kerosene Space Heater Excellent ",112.0, , ,,Sears,Kerosene,Steel,120 V,,Gray,,,,,,,,,,,,1,,,,,"55,000",Steel,2-5 gal (6-19 L),Analog/Mechanical,,,,951-1000 sq ft,,,,,,Portable Heater,,Forced Air/Fan,Floor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mr Heater F242650/MH30T Tank Propane Heater 2 Burner 10000-30000BTU **Damaged,113.99, ,"['Product is easy to assemble, simple to operate and has adjustable output making it great for small and larger areas. Wish it could be used indoors for emergency power outages but it does not have an oxygen depletion sensor which is necessary for that purpose. Great product to use on your deck for cool to cold temperature outings in fall and winter. ', 'This heater does work.  I have had a couple of hic-ups with it though.  One burner shut off a couple times...but did finally stay on the last time I lit it.The final reason why I decided to by the Mr. Heater is because the statement said it was made in the USA.  Not so!!!  When I received it, I looked on the box and it said (MADE IN CHINA).Disappointing.  I, personally, am REALLY tired of buying stuff made in China!!!  If there was a neutral button, I would have gone all neutral.BUY USA....  Thank you, Tom', ""Pro's~~puts out a lot of heat fast.  I haven't  used it enough to rate its fuel consumption efficiency.  Propane here is around three bucks a gallon.  Easy assembly to get it working.con's~~I don't know if this is a con, but their are wires and tubing exposed right next to the heat pans and it just seems like they could be in conduit or something.  These are visible in the pictures shown.  Maybe perfectly safe, just look iffy."", 'I have one other Mr. Heater product and it works fine so I purchased this unit. The unit goes out constantly whenever a slight breeze is blowing. It is extremely frustrating having to constantly be watching the outages. I contacted customer service at Mr. Heater to explain the issue and got only one argument after another. The representative was more interested in arguing semantics like wind vs. breeze rather than addressing the issue at hand. I was totally frustrated and am totally dissatisfied with this product. I would absolutely NOT recommend this product to anyone who is planning on using it outdoors for any reason. This is an ongoing issue as I have since read several reviews from others who have the same problem with this product. I have disconnected the unit and it is in my shed where it will probably stay until I can find someone who is willing to give me a couple of bucks for it.', 'This is a great tank top. I have had several brands so I know good from not so good. This lights easily, stays lit and provides lots of heat. Glad I bought Mr. Heater.', 'Sitting on top of a 40# tank in a corner...takes the chill off of an outside kitchen lounge area. Works perfectly..happy customer. Seems to be better build quality than others I considered at the local large retail stores...They seemed a little cheap. Think this is a better product. ', 'Great heater for the price.  It has 3 heater settings and is extremely easy to operate.Liked it so much that I purchased a 1 burner portable (camp style) for our ice fishing shanty.', 'ive owned a few of these over the years, 1 and 2 head models, and work everytime, first  2 head model made it 10 years in wisconsin garage...dont skimp!, buy MR. HEATER!!!!', 'Great product.    Puts off plenty of heat even on low.     Really like having 3 settings. Low Med High.  ']","Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ",Mr. Heater,Propane,Chrome,Not Electric,MH30T,White,"Timer, Heater, Outdoor",26.5 in.,17.2 in.,F242650,Infrared,,,0089301426504,15 Minutes,,,1,,,,,30000 BTU,,,Digital,,,,150 to 249 sq ft,,,,,,Tank Top,,Radiant,Garage,,,0089301426504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F242650,,,,,,,,,,,,,Mr. Heater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dessa Heater Pump Kit M16886-1,112.0, , ,"Open box: An item in excellent, new condition with no wear. The item may be missing the original packaging or protective wrapping, or may be in the original packaging but not sealed. The item includes original accessories. The item may be a factory second. See the seller's listing for full details and description. ",Dessa,,,,,,,,,,,,,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ceramic Space Heater 2 Quiet Settings Adjustable Thermostat Calentador Calenton,112.99,6 watchers, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Unknown,,,,Does not apply,Silver 755320,,,,Does not apply,,,,313037321322,,,,,,,,,,,,,,,,,,,,,,Does not apply,,,,,,0313037321322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Does not apply,,,,,,,,,,,,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Vintage Arvin Brown Space Heater, Rare, Working Condition, Electric Portable",110.0, , ,"Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ",Arvin Meritor,Electric,,,,Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Portable Heater,,Forced Air/Fan,Floor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6' BASEBOARD HEATER,110.8, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Fahrenheat,Electric,Steel,240 V,,White,,,,F2546,,,,0098319713902,,,,1,,,,,,,,Switch,,,,,,,,,,Baseboard Heater,,,Wall,,,0098319713902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comfort Zone-240V Ceiling Mounted Heater 5000W BK. *CZ220BK-EU* 20.90 Amp,114.0, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",comfort zone,Electric,Steel,240 V,Comfort Zone CZ220,Black,,,,CZ220BK-EU,,,,0070792001837,,,,3,,,Coil,,17000-17999 BTU,Steel,,Rotary Knob,,,,,,,,,,Unit Heater,,Forced Air/Fan,Ceiling,None,4501-5000 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dura Heat LPC25 Propane Convection Style Trash Can Heater, 15000-25000 BTU's",112.0, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",World Marketing of America,Propane,Steel,,Dura Heat LPC25,Gray,Auto Shut-off,11.7 in,11.7 in,LPC25,,,,0013204200251,,,,1,,,,,25000 BTU,,,Analog/Mechanical,,,,,,,,,11.7 in,Convention Heater,,Convection,"Floor, Wall",,7327 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mr Heater F242650 Tank-Top Propane Heater for Camping Hunting Outdoors,, ,"['Product is easy to assemble, simple to operate and has adjustable output making it great for small and larger areas. Wish it could be used indoors for emergency power outages but it does not have an oxygen depletion sensor which is necessary for that purpose. Great product to use on your deck for cool to cold temperature outings in fall and winter. ', 'This heater does work.  I have had a couple of hic-ups with it though.  One burner shut off a couple times...but did finally stay on the last time I lit it.The final reason why I decided to by the Mr. Heater is because the statement said it was made in the USA.  Not so!!!  When I received it, I looked on the box and it said (MADE IN CHINA).Disappointing.  I, personally, am REALLY tired of buying stuff made in China!!!  If there was a neutral button, I would have gone all neutral.BUY USA....  Thank you, Tom', ""Pro's~~puts out a lot of heat fast.  I haven't  used it enough to rate its fuel consumption efficiency.  Propane here is around three bucks a gallon.  Easy assembly to get it working.con's~~I don't know if this is a con, but their are wires and tubing exposed right next to the heat pans and it just seems like they could be in conduit or something.  These are visible in the pictures shown.  Maybe perfectly safe, just look iffy."", 'I have one other Mr. Heater product and it works fine so I purchased this unit. The unit goes out constantly whenever a slight breeze is blowing. It is extremely frustrating having to constantly be watching the outages. I contacted customer service at Mr. Heater to explain the issue and got only one argument after another. The representative was more interested in arguing semantics like wind vs. breeze rather than addressing the issue at hand. I was totally frustrated and am totally dissatisfied with this product. I would absolutely NOT recommend this product to anyone who is planning on using it outdoors for any reason. This is an ongoing issue as I have since read several reviews from others who have the same problem with this product. I have disconnected the unit and it is in my shed where it will probably stay until I can find someone who is willing to give me a couple of bucks for it.', 'This is a great tank top. I have had several brands so I know good from not so good. This lights easily, stays lit and provides lots of heat. Glad I bought Mr. Heater.', 'Sitting on top of a 40# tank in a corner...takes the chill off of an outside kitchen lounge area. Works perfectly..happy customer. Seems to be better build quality than others I considered at the local large retail stores...They seemed a little cheap. Think this is a better product. ', 'Great heater for the price.  It has 3 heater settings and is extremely easy to operate.Liked it so much that I purchased a 1 burner portable (camp style) for our ice fishing shanty.', 'ive owned a few of these over the years, 1 and 2 head models, and work everytime, first  2 head model made it 10 years in wisconsin garage...dont skimp!, buy MR. HEATER!!!!', 'Great product.    Puts off plenty of heat even on low.     Really like having 3 settings. Low Med High.  ']","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Mr. Heater,Propane,Chrome,Not Electric,MH30T,White,"Timer, Heater, Outdoor",26.5 in.,17.2 in.,F242650,Infrared,,,0089301426504,15 Minutes,,,1,,,,,30000 BTU,,,Digital,,,,150 to 249 sq ft,,,,,,Tank Top,,Radiant,Garage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vornado  Electric  Vortex  Heater  Thermostat Linen,110.99,30-day returns,"['LIGHT WEIGHT VERY SAFE HEATS WELL I PURCHASED SEVERAL IN THE LAST FEW MONTHS', ""We use a Vornado VH1 all winter long. When the outside temperature is 40 degrees it will maintain 68-70 degrees in our living room. It doesn't totally replace our gas furnace but it really helps lower the gas bill."", 'This little heater works really well. I am looking forward to trying it out in a larger space to see what it can really do!', 'Could be stronger but for size n price its perfect', 'Awesome heater for its size', 'This heater is great. It keeps the room warm and I love that it has a fan.', 'good product -']","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Vornado,,,,EH1-0020-25,,,,,EH1-0020-25,,United States,,043765010372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VENTISOL 7500W Electric Garage Heater 240v Heavy Duty Fan Forced Ceiling Mounted,113.39,Best offer available, ,,VENTISOL,Electric,,,VSL-7500W,Black,,14.410,18.820,VSL-7500W,,,,644925444015,,,,,,,,,,,,Remote Control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VENTISOL,,,,,VSL-7500W,14.090,Opened manufacturer Packaging.,9,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delonghi TCH8093ER Digital Flat Panel Ceramic Tower Heater with Remote Control,115.0, ,"['Works well heats good', 'The remote rarely, sporadically communicates with unit that has unresponsive touch control buttons.It goes on and off on it’s own and does not heat anything even set at 81 degrees.I would never purchase any Delonghi item because of this.', 'So far I like it.  It has been warm and I used only once.', 'Garbage product. Stuck in tip over protection mode and never came back out of it', 'I purchased two of these towers because of its design, but I am quite disappointed in their power....  I would not recommend these to anyone!', 'great modern design']","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",De'Longhi,Electric,Ceramic,240 V,DeLonghi TCH8093ER,Black,Timer,,,TCH8093ER,,,,0044387180931,,,,1,2016,,Strip,,5000-5999 BTU,,,"Remote Control, Digital, Switch, Touch",,,,101-150 sq ft,,,,,,Tower Heater,,Radiant,Floor,,1001-1500 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Outdoor Patio Heater, Luwior 1500W Electric Infrared Heater with Remote, 3 Modes",110.99, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Luwin,Electric,,110 V,,Black,,,,,,,,Does not apply,,,,,,,,,,,,,,,,,,,,,,Portable Heater,,Infrared,Floor,,1001-1500 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
